f	आभा
f	अभिलाषा
f	अदिती
f	ऐश्वर्या
f	आकाङ्क्षा|आकांक्षा
f	अमला
f	अमिता
f	अमृता
f	आनन्दा
f	आनन्दी
m	अनन्त|अनंत|अनन्ता|अनंता
m	अनन्त|अनंत
m	अनन्त|अनंत|अनन्ता|अनंता
f	अनीका
f	अनिला
f	अणिमा
f	अनीता
f	अञ्जली|अंजली
f	अङ्किता|अंकिता
m	अङ्कुर|अंकुर
f	अनुजा
f	अनुपमा
f	अपराजिता
f	आराधना
m	अरविन्द|अरविंद
m	अरविन्द|अरविंद
f	अर्चना
f	अरुन्धती|अरुंधती
m	आरय|आरया
f	आशा
f	अवनी
f	अवन्ती
m	बाल|बाला
m	चण्ड|चण्डा
f	चन्दना
m	चन्द्र|चन्द्रा
f	चन्द्रकान्ता
f	चेतना
f	दमयन्ती|दमयंती
f	दर्शना
f	दीपाली
f	दीप्ती
f	देवी
f	देविका
f	दीपाली
f	दीपिका
f	दीप्ती
f	दिव्या
f	द्रौपदी
f	दृष्टि
f	दुर्गा
f	एषा
f	गौरी
f	गीता
f	गौरी
m	हरेन्द्र|हरेंद्र
f	इला
f	इन्दिरा
m	इन्द्र|इंद्र
m	इन्द्रजित|इंद्रजित
f	इन्द्राणी
f	इन्दु
f	जया|जय
m	जयन्त|जयंत
m	जयन्त|जयंत
f	जयन्ती|जयंती
f	जयशरी
m	जयेन्द्र|जयेंद्र
m	जितेन्द्र|जितेंद्र
f	ज्योति
f	ज्योत्सना
f	ज्योत्स्ना
f	काजल
f	कला
f	काली
f	कल्पना
f	कल्याणी
f	कमला|कमल
f	कामिनी
f	कञ्चना
f	कान्ता
f	कान्ती
f	काशी
f	काशी
f	कौसल्या
f	कावेरी
f	कविता
f	कीर्तिदा
f	किशोरी
f	क्षितिजा
f	कुमारी
f	कुंती
f	लक्ष्मी
f	ललिता|ललित
f	लता
f	लावण्या
f	लक्ष्मी
f	लीला
f	लीला
f	लीलावती
f	लीना
f	लोचना
f	माधवी
f	मधु
f	मधुर
f	माधुरि
m	महेन्द्र|महेंद्र
f	माला
f	मालती
f	मालिनी
f	मनीषा
f	मञ्जु
f	मञ्जुला
f	मञ्जूषा
f	माया
f	मीना
f	मीरा
f	मीना
f	मीनाली
f	मीरा
m	मित्रा|मित्र
m	मोहन|मोहना
f	मोहिनी
f	मृदुला
f	मुक्ता
m	नागेन्द्र|नागेंद्र
f	नलिनी
f	नन्दिता
m	नरेन्द्र|नरेंद्र
f	नीला
f	नेहा
f	निकेता
f	निखिला
f	निकिता
f	नीला
f	नीलिमा
f	निर्मला
f	निरुपमा
f	निशा
m	नित्य|नित्या
f	नीतिका
m	नित्य|नित्या
m	ओम|ओं
m	पद्म|पद्मा
f	पद्मावती
f	पद्मिनी
f	पल्लवी
f	पार्वती
f	पूर्णिमा
f	प्रतिभा
f	प्रतिमा
f	प्रीती
f	प्रेमा
f	पृथा
f	प्रीती
f	प्रिया
f	पूर्णिमा
f	पुष्पा
f	रचना
f	राधा
f	रजनी
m	राजेन्द्र|र�
